source_vintage,source_hs8,hs8_2022,match_type
2017,09103000,09103000,identity
2017,09109100,09109100,identity
2017,09109991,09109991,identity
2017,10011100,10011100,identity
2017,10011910,10011910,identity
2017,10011920,10011920,identity
2017,10019100,10019100,identity
2017,10019910,10019910,identity
2017,10019920,10019920,identity
2017,10019930,10019930,identity
2017,10021000,10021000,identity
2017,10029000,10029000,identity
2017,10031000,10031000,identity
2017,10039010,10039010,identity
2017,10039020,10039020,identity
2017,10041000,10041000,identity
2017,10049010,10049010,identity
2017,10049020,10049020,identity
2017,10051000,10051000,identity
2017,10059000,10059000,identity
2017,10061000,10061000,identity
2017,10062030,10062030,identity
2017,10063025,10063025,identity
2017,10063031,10063031,identity
2017,10063039,10063039,identity
2017,10064000,10064000,identity
2017,10071000,10071000,identity
2017,10079010,10079010,identity
2017,10079020,10079020,identity
2017,10081000,10081000,identity
2017,10082100,10082100,identity
2017,10082900,10082900,identity
2017,10083000,10083000,identity
2017,10084000,10084000,identity
2017,10085000,10085000,identity
2017,10086000,10086000,identity
2017,10089010,10089010,identity
2017,11010011,11010011,identity
2017,11022000,11022000,identity
2017,11029091,11029091,identity
2017,11031100,11031100,identity
2017,11031300,11031300,identity
2017,11031992,11031992,identity
2017,11032010,11032010,identity
2017,11041200,11041200,identity
2017,11041994,11041994,identity
2017,11042200,11042200,identity
2017,11042300,11042300,identity
2017,11042995,11042995,identity
2017,11043000,11043000,identity
2017,11051001,11051001,identity
2017,11052001,11052001,identity
2017,11061001,11061001,identity
2017,11062001,11062001,identity
2017,11063001,11063001,identity
2017,11071060,11071060,identity
2017,11071096,11071096,identity
2017,11072000,11072000,identity
2017,11081100,11081100,identity
2017,11081200,11081200,identity
2017,11081300,11081300,identity
2017,11081400,11081400,identity
2017,11081900,11081900,identity
2017,11082000,11082000,identity
2017,11090000,11090000,identity
2017,12011000,12011000,identity
2017,12019000,12019000,identity
2017,12023000,12023000,identity
2017,12024100,12024100,identity
2017,12024200,12024200,identity
2017,12030000,12030000,identity
2017,12040000,12040000,identity
2017,12051000,12051000,identity
2017,12059000,12059000,identity
2017,12060000,12060000,identity
2017,12071010,12071010,identity
